INPUT_1,INPUT_2
17.5,576.2
35.9,598.6
31.4,612.1
23.7,624.2
20.2,635.2
18.5,649
18.2,657
17.7,653.9
16.3,647.3
14.8,646.5
14.5,648.5
14.8,650.5
15.1,650.5
15.1,650.3
15.1,648.4
14.8,650
14.5,649.6
14.4,650.7
14.7,649.5
14.8,650.9
15.2,650.1
15.3,655
16.2,661.5
20.6,659
26.9,654.8
31.8,652.7
35.5,652.7
37.9,653.1
40.1,651.6
42.1,653.4
44.2,653.1
46.2,652
48,651.9
49.5,652.2
51.7,651.4
53.1,651
54.3,652.3
56,652.4
57.5,652.4
59.3,653.5
61.6,652.9
63.6,653.2
65.3,652
67.3,652.4
69.2,652.4
70.5,652.6
71.9,652.3
73.6,652.8
75.7,651.9
77.5,652
79.2,652.5
81,652.3
82.5,655
84.8,651.3
86.4,652.2
87.9,651.8
89.8,651.9
91.5,651.4
92.7,653.4
94.7,653.1
96.9,652.2
99.9,651.2
101.5,652
103.1,652.7
105.2,651.6
106.5,652.8
108.9,651.4
110.8,652.3
112,653.2
114,651.9
115.9,652.7
117.8,651
119.7,653.6
121.7,652.8
123.5,652.4
125.9,651.8
128,652.2
129.9,651.8
131.4,654.2
133.6,651.4
135.6,651.8
138,653.1
140.1,652.4
141.3,653.4
143.9,650.8
145.7,652.3
147.7,652.7
150.4,651.5
152.4,652.7
154.4,652.9
156,652.8
158.3,652.4
160.9,652.8
163.6,651.9
165.3,652
167.5,653.1
168.7,653.5
171.5,653.4
174.8,651.7
177.5,652.2
179.1,652.1
181,652.3
183.9,652
185.6,653.5
187.5,652.9
189.6,651.7
191.4,651.2
193.3,651.1
193.8,650.2
193.9,650.4
194.3,651.9
193.4,659.9
192.7,668.6
192.3,679.9
192.3,689.4
194.4,696.6
194.7,704.7
194.9,713.3
195.2,723.1
195.4,731.7
196.1,739.1
197.2,747.2
196.8,758.5
196.6,766.8
196.2,774.8
196.5,782.8
197.4,790.9
197.1,800.5
197,809.2
197,818
197.5,823.5
197.5,826.2
197.5,822.5
